State,State Senate,Senate Code,State Legislature,Legis Code,Electoral,Electoral Code,Governor,Governor Code
AK,R,1,BR,0.5,R,1,republican,1
AL,R,1,R,1,R,1,republican,1
AR,R,1,R,1,R,1,republican,1
AZ,R,1,R,1,B,0,republican,1
CA,B,0,B,0,B,0,democrat,0
CO,B,0,B,0,B,0,democrat,0
CT,B,0,B,0,B,0,democrat,0
DE,B,0,B,0,B,0,democrat,0
FL,R,1,R,1,R,1,republican,1
GA,R,1,R,1,B,0,republican,1
HI,B,0,B,0,B,0,democrat,0
IA,R,1,R,1,R,1,republican,1
ID,R,1,R,1,R,1,republican,1
IL,B,0,B,0,B,0,democrat,0
IN,R,1,R,1,R,1,republican,1
KS,R,1,R,1,R,1,democrat,0
KY,R,1,R,1,R,1,democrat,0
LA,R,1,R,1,R,1,democrat,0
MA,B,0,B,0,B,0,republican,1
MD,B,0,B,0,B,0,republican,1
ME,B,0,B,0,BR (75/25),0.25,democrat,0
MI,R,1,R,1,B,0,democrat,0
MN,R,1,B,0,B,0,democrat,0
MO,R,1,R,1,R,1,republican,1
MS,R,1,R,1,R,1,republican,1
MT,R,1,R,1,R,1,republican,1
NC,R,1,R,1,R,1,democrat,0
ND,R,1,R,1,R,1,republican,1
NE,R,1,,0,BR (20/80),0.8,republican,1
NH,R,1,R,1,B,0,republican,1
NJ,B,0,B,0,B,0,democrat,0
NM,B,0,B,0,B,0,democrat,0
NV,B,0,B,0,B,0,democrat,0
NY,B,0,B,0,B,0,democrat,0
OH,R,1,R,1,R,1,republican,1
OK,R,1,R,1,R,1,republican,1
OR,B,0,B,0,B,0,democrat,0
PA,R,1,R,1,B,0,democrat,0
RI,B,0,B,0,B,0,democrat,0
SC,R,1,R,1,R,1,republican,1
SD,R,1,R,1,R,1,republican,1
TN,R,1,R,1,R,1,republican,1
TX,R,1,R,1,R,1,republican,1
UT,R,1,R,1,R,1,republican,1
VA,B,0,R,1,B,0,democrat,0
VT,B,0,B,0,B,0,republican,1
WA,B,0,B,0,B,0,democrat,0
WI,R,1,R,1,B,0,democrat,0
WV,R,1,R,1,R,1,democrat,0
WY,R,1,R,1,R,1,republican,1
